state,acc_length,area_code,intl_plan,vmail_plan,num_vm_msgs,ttl_day_mins,ttl_day_calls,ttl_day_charge,ttl_eve_mins,ttl_eve_calls,ttl_eve_charge,ttl_ngt_mins,ttl_ngt_calls,ttl_ngt_charge,ttl_intl_mins,ttl_intl_calls,ttl_intl_charge,cust_service_calls,churn,total_calls,total_mins,total_charge,day_call_ratio,intl_ratio
UT,96,415,no,no,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,False,257,665.5,62.76,0.45525291828793774,0.013974455296769347
WY,87,415,no,no,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,True,329,584.3000000000001,56.14,0.25227963525835867,0.01660106109875064
IN,81,408,no,no,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,False,253,705.2,65.94,0.2648221343873518,0.014463981849120814
CO,141,415,no,no,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,False,290,455.7,45.370000000000005,0.33793103448275863,0.017555409260478386
CO,121,408,no,yes,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,True,286,460.7,49.849999999999994,0.45104895104895104,0.012589537660082483
WI,68,415,no,no,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,False,340,537.2,55.36000000000001,0.20588235294117646,0.022524199553239015
OK,125,408,no,no,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,False,332,608.0,65.82,0.3102409638554217,0.019736842105263157
ID,174,408,no,no,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,False,249,540.0,57.67999999999999,0.3895582329317269,0.021111111111111112
CA,116,415,no,yes,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,False,334,624.7,71.41999999999999,0.24850299401197604,0.01856891307827757
MN,74,510,no,yes,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,False,282,592.4,64.0,0.32269503546099293,0.02464550979068197
SD,149,408,no,yes,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,False,212,646.6,62.029999999999994,0.4339622641509434,0.01948654500463965
NC,38,408,no,no,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,False,307,461.3,45.51,0.31921824104234525,0.01777585085627574
WA,40,415,no,yes,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,False,269,537.9000000000001,50.89000000000001,0.275092936802974,0.011526306004833611
WY,43,415,yes,no,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,False,280,631.4,70.46,0.375,0.014729173265758634
MN,113,408,yes,no,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,False,359,469.20000000000005,46.88,0.2590529247910863,0.017689684569479967
UT,126,408,no,no,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,False,211,589.8,63.42999999999999,0.33175355450236965,0.013224821973550356
TX,150,510,no,no,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,True,314,510.40000000000003,55.199999999999996,0.321656050955414,0.027037617554858933
NJ,138,408,no,no,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,False,287,719.4,72.08,0.3240418118466899,0.016402557686961357
MN,162,510,no,yes,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,False,244,679.8000000000001,68.96,0.3975409836065574,0.017799352750809058
NM,147,510,no,no,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,False,281,578.0,64.84,0.29537366548042704,0.01384083044982699
NV,90,415,no,no,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,False,372,589.8,62.67999999999999,0.3924731182795699,0.012377076975245847
HI,85,415,no,no,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,False,305,593.2,65.16,0.35737704918032787,0.020229265003371542
MN,50,415,no,no,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,False,275,567.9,55.49999999999999,0.32727272727272727,0.010741327698538475
DC,82,415,no,no,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,True,286,763.1000000000001,81.75,0.3811188811188811,0.015332197614991478
NY,144,408,no,no,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,True,308,319.9,27.02,0.37987012987012986,0.025633010315723664
MN,46,415,no,no,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,False,292,564.2,60.57,0.2465753424657534,0.01453385324353066
MD,70,408,no,no,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,False,278,569.0,56.459999999999994,0.35251798561151076,0.026362038664323375
WV,144,415,no,no,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,False,294,741.8000000000001,73.63,0.336734693877551,0.017794553788083037
OR,116,415,yes,no,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,False,297,711.3000000000001,69.96000000000001,0.3501683501683502,0.017714044706874734
CO,55,408,no,yes,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,False,310,488.4,50.599999999999994,0.3967741935483871,0.022522522522522525
GA,70,415,no,yes,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,False,271,741.6999999999999,77.16000000000001,0.3726937269372694,0.013212889308345695
TX,106,510,no,no,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,True,270,663.5999999999999,68.94,0.35555555555555557,0.018685955394816156
VT,128,510,no,yes,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,False,275,736.8000000000001,66.53999999999999,0.3781818181818182,0.011672095548317045
IN,94,408,no,no,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,True,295,510.5,50.709999999999994,0.3559322033898305,0.015670910871694418
WV,111,510,no,no,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,False,294,617.2,65.6,0.4013605442176871,0.019442644199611146
KY,74,415,no,yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,False,254,490.5,48.72,0.4094488188976378,0.022222222222222223
NJ,128,415,no,no,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,True,290,708.3,74.64,0.43103448275862066,0.019624452915431315
DC,82,510,no,no,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,False,262,459.5,48.96,0.23282442748091603,0.024156692056583242
LA,155,415,no,no,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,True,327,599.1999999999999,62.03,0.3058103975535168,0.014853137516688921
AR,80,415,no,no,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,False,278,558.4,49.36000000000001,0.3597122302158273,0.014147564469914041
ME,78,415,no,no,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,False,317,704.7,72.6,0.29337539432176657,0.013480913864055626
AZ,90,415,no,no,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,False,250,508.0,55.26,0.284,0.020866141732283464
AK,104,408,no,no,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,False,361,532.3999999999999,64.21000000000001,0.29362880886426596,0.01840721262208866
MT,73,415,no,no,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,False,258,560.5,56.68999999999999,0.4263565891472868,0.0231935771632471
AZ,99,415,no,no,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,False,279,605.1,62.25000000000001,0.3118279569892473,0.014377788795240454
MS,120,408,no,no,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,True,336,594.0,62.809999999999995,0.3898809523809524,0.008922558922558922
ID,77,415,no,no,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,True,314,742.5,75.32000000000001,0.22929936305732485,0.0131986531986532
IA,98,510,no,yes,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,False,297,577.9999999999999,57.24,0.3838383838383838,0.007612456747404846
MA,108,415,no,no,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,False,320,511.0,56.129999999999995,0.428125,0.02857142857142857
VT,135,415,no,no,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,False,293,461.2,46.849999999999994,0.27986348122866894,0.02276669557675629
KY,95,408,no,no,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,False,316,576.4000000000001,52.980000000000004,0.31329113924050633,0.021686328938237333
IN,122,408,no,no,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,False,280,604.0999999999999,57.989999999999995,0.3357142857142857,0.018705512332395303
AZ,95,408,no,no,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,False,282,627.0999999999999,68.13,0.23049645390070922,0.0188167756338702
MI,36,510,no,yes,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,False,297,679.8,75.88000000000001,0.3434343434343434,0.01323918799646955
NM,93,510,no,yes,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,False,335,509.2,46.42999999999999,0.39104477611940297,0.0192458758837392
CO,141,415,no,yes,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,False,331,509.20000000000005,49.0,0.27492447129909364,0.01983503534956795
UT,157,408,no,no,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,False,326,628.7,65.09,0.27607361963190186,0.015269603944647684
MI,120,408,no,no,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,False,277,609.6999999999999,62.61000000000001,0.36101083032490977,0.013613252419222571
MA,103,415,no,no,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,False,304,643.7,63.86,0.3848684210526316,0.01957433587074724
AL,98,408,no,no,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,False,347,591.6999999999999,57.120000000000005,0.3371757925072046,0.020449552137907726
DE,125,408,no,no,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,False,319,593.8,53.78999999999999,0.3385579937304075,0.022398113843044798
AZ,63,415,no,no,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,False,275,449.29999999999995,36.48,0.45454545454545453,0.020921433340752284
ME,36,510,yes,yes,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,True,343,610.0,66.75,0.2594752186588921,0.03278688524590164
NJ,64,510,no,no,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,False,317,386.59999999999997,47.010000000000005,0.2618296529968454,0.03673047077082256
NV,74,415,no,no,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,True,281,681.8,76.91000000000001,0.40569395017793597,0.013787034320915225
MO,112,510,no,yes,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,False,320,458.79999999999995,43.410000000000004,0.365625,0.021795989537925022
ID,97,408,no,no,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,False,322,606.6000000000001,67.83,0.38819875776397517,0.014342235410484664
NE,46,408,no,no,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,False,292,650.7,67.59,0.3150684931506849,0.020132165360381125
TX,41,408,no,yes,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,False,314,505.0,56.74,0.3248407643312102,0.014257425742574258
MD,121,510,no,no,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,False,327,604.8,60.61,0.3149847094801223,0.016203703703703706
MS,193,415,no,no,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,False,311,427.70000000000005,48.51,0.3987138263665595,0.027121814355856904
NV,130,510,no,no,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,False,339,500.99999999999994,48.29,0.35103244837758113,0.018363273453093812
AZ,85,408,no,no,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,False,265,695.3,68.33999999999999,0.19622641509433963,0.017258737235725588
MS,162,415,no,no,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,True,280,392.1,34.84,0.38571428571428573,0.023208365212955877
MS,61,510,no,yes,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,True,362,566.1999999999999,56.23,0.3425414364640884,0.011303426351112682
TX,92,408,no,no,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,False,303,469.59999999999997,42.41,0.297029702970297,0.019591141396933562
NE,131,408,no,yes,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,False,338,650.0999999999999,64.63,0.34023668639053256,0.01461313644054761
NE,90,415,no,no,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,False,331,521.0,52.78999999999999,0.27794561933534745,0.02092130518234165
CA,75,408,no,no,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,False,296,587.3000000000001,54.919999999999995,0.4222972972972973,0.010386514558147453
NJ,78,415,no,no,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,False,378,732.3,73.17999999999999,0.30423280423280424,0.012972825344804043
TX,82,408,no,no,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,False,259,614.7,62.34,0.37065637065637064,0.011550349764112573
AR,163,408,no,no,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,False,327,615.1,62.46,0.3333333333333333,0.0147943423833523
AL,91,510,yes,no,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,False,328,561.6000000000001,50.95,0.34146341463414637,0.019943019943019936
NY,75,415,no,yes,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,False,341,636.0999999999999,60.49999999999999,0.2844574780058651,0.008332023266781953
FL,91,510,no,no,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12.0,3,3.24,3,False,351,620.8,64.42999999999999,0.301994301994302,0.019329896907216496
AK,127,510,no,yes,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,False,272,584.5,56.790000000000006,0.43014705882352944,0.019161676646706587
NV,113,415,no,yes,23,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75,2,False,225,525.8000000000001,57.660000000000004,0.4488888888888889,0.01939901103081019
DE,110,510,no,no,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,False,314,630.9,60.8,0.3662420382165605,0.019654461879854177
MD,120,415,no,yes,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,False,285,685.0,67.04,0.23859649122807017,0.015328467153284672
MI,157,415,no,yes,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,False,325,504.6,56.14,0.3292307692307692,0.013476020610384462
VT,103,510,no,no,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,False,231,654.2,70.71,0.20346320346320346,0.017884439009477223
VT,117,408,yes,no,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,True,312,608.1,58.53,0.27564102564102566,0.02318697582634435
MI,140,415,no,no,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,False,299,516.6999999999999,61.86,0.3377926421404682,0.027675633830075486
WA,127,408,no,no,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,False,282,567.3000000000001,55.09,0.32269503546099293,0.024149479992949054
UT,83,408,yes,no,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,False,322,620.6,73.16,0.2701863354037267,0.018852723171124717
LA,121,408,no,no,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,False,327,570.0,58.989999999999995,0.37003058103975534,0.014912280701754385
RI,145,408,no,yes,43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3.0,2,False,282,717.8,73.5,0.34397163120567376,0.015463917525773196
IA,113,408,no,no,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,False,297,598.1,62.38,0.3333333333333333,0.017722788831299113
NE,117,415,no,no,0,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,7,2.73,1,False,322,618.6,51.239999999999995,0.3695652173913043,0.016327190430003233
OH,65,408,no,no,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,False,325,580.3,57.60000000000001,0.3569230769230769,0.01292434947440979
RI,56,415,no,no,0,226.0,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1,False,383,621.9,67.72000000000001,0.2924281984334204,0.011095031355523397
